machine,algorithm,task,condition,params,before_acc,final_acc,gain,acc_minus_majority,margin,loss,phase_gap,hidden_gap,cascade_acc,cascade_pred_valid_rate,cascade_mean_yes_prob,permute_acc_delta,zero_acc_delta,noise_acc_delta,path
nextop,dpo,algebraic_protocol,standard_alibi,789216,0.4828125,0.88125,0.3984375,0.38125,7.51019460838288,0.8316449537608861,,1.3225567571818828,,,,,,,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/algebraic_protocol_depth4/results.json
nextop,dpo,algebraic_protocol,phase_dynamic_qk_film_alibi_normalized,974252,0.4484375,0.8484375,0.39999999999999997,0.34843749999999996,5.207904791738838,0.5304631478198758,0.8184252348728478,1.0800580623559655,,,,-0.0546875,-0.03749999999999998,-0.009374999999999911,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/algebraic_protocol_depth4/results.json
nextop,dpo,algebraic_protocol,relation_value_qk_film_alibi_normalized,989135,0.540625,0.853125,0.3125,0.353125,6.04303116875235,0.8335523849208073,-0.03345149513334036,1.1997009543702006,,,,-0.140625,-0.14218750000000002,-0.010937500000000044,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/algebraic_protocol_depth4/results.json
nextop,dpo,cap_matching,standard_alibi,770784,0.50625,0.7484375,0.2421875,0.21250000000000002,4.517626737523824,1.2510816343045676,,0.41744978120550513,,,,,,,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/cap_matching_depth6/results.json
nextop,dpo,cap_matching,phase_dynamic_qk_film_alibi_normalized,955820,0.5375,0.5703125,0.03281250000000002,0.034375000000000044,0.5195398566960648,0.7396135358023457,0.889924403373152,-0.28832783000543716,,,,0.018750000000000044,-0.0031250000000000444,-0.0078125,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/cap_matching_depth6/results.json
nextop,dpo,cap_matching,relation_value_qk_film_alibi_normalized,970703,0.528125,0.7265625,0.19843750000000004,0.19062500000000004,2.5572766981669703,0.8008777022198956,-0.03166634822264314,0.2097963498905301,,,,-0.1953125,-0.12343749999999998,-0.012499999999999956,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/cap_matching_depth6/results.json
nextop,dpo,dfa_equivalence,standard_alibi,777696,0.5,0.759375,0.259375,0.259375,5.349678433686495,0.46892489057499914,,0.18831485975533724,,,,,,,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/dfa_equivalence_states7/results.json
nextop,dpo,dfa_equivalence,phase_dynamic_qk_film_alibi_normalized,962732,0.621875,0.759375,0.13750000000000007,0.259375,5.775566259771585,0.6205509581021034,0.951124703604728,0.20464012948796154,,,,0.0,0.0,0.0,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/dfa_equivalence_states7/results.json
nextop,dpo,dfa_equivalence,relation_value_qk_film_alibi_normalized,977615,0.3578125,0.759375,0.40156250000000004,0.259375,5.887176804244518,0.7493059426429681,-0.019305230211466552,0.216925906855613,,,,0.0,0.0,0.0,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/dfa_equivalence_states7/results.json
nextop,dpo,lambda_trace,standard_alibi,789216,0.4984375,0.8421875,0.34375,0.3421875,7.675830184062943,1.2019876501206066,,1.0110459147952497,0.553125,0.13125,0.4536037257857453,,,,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/lambda_trace_depth4/results.json
nextop,dpo,lambda_trace,phase_dynamic_qk_film_alibi_normalized,974252,0.4828125,0.8109375,0.328125,0.3109375,7.732516958937049,1.3379485122824626,0.766829190030694,0.7338829198852181,0.5734375,0.2828125,0.5890085195561361,-0.08437499999999998,-0.09843749999999996,0.0078125,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/lambda_trace_depth4/results.json
nextop,dpo,lambda_trace,relation_value_qk_film_alibi_normalized,989135,0.5375,0.828125,0.290625,0.328125,6.651831749361008,0.8761763377204801,-0.03697867887094617,0.8391028246842325,0.6328125,0.2171875,0.5042683939067467,-0.07656249999999998,-0.0703125,-0.0015625000000000222,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/lambda_trace_depth4/results.json
nextop,dpo,vm_trace,standard_alibi,777696,0.4984375,0.553125,0.0546875,0.05312499999999998,0.17103918511420488,0.8700523352541495,,-0.5129831387661398,0.571875,0.071875,0.5790896060606125,,,,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/vm_trace_len9/results.json
nextop,dpo,vm_trace,phase_dynamic_qk_film_alibi_normalized,962732,0.5234375,0.54375,0.020312499999999956,0.043749999999999956,0.31026630229316654,0.8655582823463192,0.9184040079824627,-0.09627579031512142,0.6875,0.39375,0.687714325048162,-0.014062499999999978,-0.014062499999999978,-0.010937499999999933,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/vm_trace_len9/results.json
nextop,dpo,vm_trace,relation_value_qk_film_alibi_normalized,977615,0.503125,0.546875,0.043749999999999956,0.046875,0.2996219578606542,0.7851553922868334,-0.04486134834587574,-0.16947718719020485,0.73125,0.403125,0.6535035424924394,-0.021874999999999978,0.0,0.004687499999999956,resonance/outputs/posttraining_cascade_nextop_2026_04_30_144727/dpo/vm_trace_len9/results.json
persvati,exact_rl,algebraic_protocol,standard_alibi,1397504,0.4427083333333333,0.84765625,0.4049479166666667,0.34765625,4.8109131744907545,0.9880156405912052,,1.686504642246291,,,,,,,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/algebraic_protocol_depth4/results.json
persvati,exact_rl,algebraic_protocol,phase_dynamic_qk_film_alibi_normalized,1617424,0.4947916666666667,0.80078125,0.3059895833333333,0.30078125,4.133197819484242,1.337140014174641,1.1694747713239242,1.5561689614939194,,,,-0.078125,-0.10286458333333337,-0.0013020833333333703,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/algebraic_protocol_depth4/results.json
persvati,exact_rl,algebraic_protocol,relation_value_qk_film_alibi_normalized,1665940,0.5208333333333334,0.84375,0.32291666666666663,0.34375,4.91234857806315,1.0979514531636596,-0.02249259975117942,1.6696237640765805,,,,-0.14453125,-0.14973958333333337,0.0013020833333333703,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/algebraic_protocol_depth4/results.json
persvati,exact_rl,cap_matching,standard_alibi,1372928,0.45703125,0.5416666666666666,0.08463541666666663,0.00390625,0.4324565529823303,2.257487490093505,,-0.008383028752480945,,,,,,,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/cap_matching_depth6/results.json
persvati,exact_rl,cap_matching,phase_dynamic_qk_film_alibi_normalized,1592848,0.52734375,0.7135416666666666,0.18619791666666663,0.17578125,2.6798465295384326,1.7962049907720636,1.0549700088643779,-0.32824993405180675,,,,-0.0859375,0.0,0.0,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/cap_matching_depth6/results.json
persvati,exact_rl,cap_matching,relation_value_qk_film_alibi_normalized,1641364,0.5221354166666666,0.5377604166666666,0.015625,0.0,0.5390960245082775,2.3645663156664036,-0.01654091950816413,-0.005347734317183495,,,,0.01432291666666674,0.01041666666666674,0.0,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/cap_matching_depth6/results.json
persvati,exact_rl,dfa_equivalence,standard_alibi,1382144,0.44140625,0.7630208333333334,0.32161458333333337,0.26302083333333337,3.922306202352047,1.7581098307185432,,1.1715620438723515,,,,,,,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/dfa_equivalence_states7/results.json
persvati,exact_rl,dfa_equivalence,phase_dynamic_qk_film_alibi_normalized,1602064,0.5065104166666666,0.7630208333333334,0.25651041666666674,0.26302083333333337,3.8410319772859416,1.7205400158673758,1.0107619031332433,1.4120404237570863,,,,-0.26302083333333337,-0.0013020833333333703,0.0,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/dfa_equivalence_states7/results.json
persvati,exact_rl,dfa_equivalence,relation_value_qk_film_alibi_normalized,1650580,0.5377604166666666,0.7630208333333334,0.22526041666666674,0.26302083333333337,3.8949773740023375,1.7451933380148148,-0.020182345838596422,1.3887867842956136,,,,-0.0013020833333333703,-0.0013020833333333703,0.0,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/dfa_equivalence_states7/results.json
persvati,exact_rl,lambda_trace,standard_alibi,1397504,0.5690104166666666,0.8255208333333334,0.25651041666666674,0.32552083333333337,4.5805140261848765,1.2066331590043926,,1.6426848091650754,0.5091145833333334,0.014322916666666666,0.1541340610163527,,,,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/lambda_trace_depth4/results.json
persvati,exact_rl,lambda_trace,phase_dynamic_qk_film_alibi_normalized,1617424,0.4791666666666667,0.7942708333333334,0.3151041666666667,0.29427083333333337,4.016852633406718,1.3672438215446618,0.5310140636283904,1.3179404993231099,0.5052083333333334,0.018229166666666668,0.29035390912832276,-0.00911458333333337,-0.06901041666666674,0.0013020833333332593,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/lambda_trace_depth4/results.json
persvati,exact_rl,lambda_trace,relation_value_qk_film_alibi_normalized,1665940,0.46875,0.81640625,0.34765625,0.31640625,4.42231825646013,1.2302822932620832,-0.032507675467059016,1.6104486548962693,0.5052083333333334,0.015625,0.2787054341588904,-0.08333333333333337,-0.0625,0.0,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/lambda_trace_depth4/results.json
persvati,exact_rl,vm_trace,standard_alibi,1382144,0.5,0.53515625,0.03515625,0.03515625,0.25583713020508486,1.4969004092005587,,-0.6329894475638866,0.5,0.0,0.31862331096794216,,,,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/vm_trace_len9/results.json
persvati,exact_rl,vm_trace,phase_dynamic_qk_film_alibi_normalized,1602064,0.4830729166666667,0.5690104166666666,0.08593749999999994,0.06901041666666663,0.45296358873990056,1.397437602254892,0.8210583237620691,-0.4061192219766478,0.5026041666666666,0.010416666666666666,0.47683988155424434,-0.0625,-0.0625,-0.0234375,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/vm_trace_len9/results.json
persvati,exact_rl,vm_trace,relation_value_qk_film_alibi_normalized,1650580,0.4947916666666667,0.5078125,0.013020833333333315,0.0078125,0.07880834528380849,0.7287702327497149,-0.040599906661858164,-0.27413088742954034,0.6458333333333334,0.15625,0.47649425021403724,0.01171875,0.00520833333333337,-0.0013020833333333703,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/exact_rl/vm_trace_len9/results.json
persvati,grpo_enum,algebraic_protocol,standard_alibi,1397504,0.4427083333333333,0.8294270833333334,0.38671875000000006,0.32942708333333337,1.8931088219493784,0.4391768920298394,,1.1757375419450302,,,,,,,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/algebraic_protocol_depth4/results.json
persvati,grpo_enum,algebraic_protocol,phase_dynamic_qk_film_alibi_normalized,1617424,0.4947916666666667,0.8580729166666666,0.36328124999999994,0.35807291666666663,1.8722184470874101,0.3582651675848562,1.1864013925660402,0.8645533626743903,,,,-0.14453125,-0.203125,-0.01041666666666663,resonance/outputs/posttraining_cascade_persvati_2026_04_30_144727/grpo_enum/algebraic_protocol_depth4/results.json
