gate,family,run,task,condition,acc,acc_std,acc_minus_majority,loss_gain,label_gap,dispersion_delta,n,params,verdict,path
pass,experiment_plan,blimp_wh_island_ablation,blimp,standard,0.9977777777777778,0.001924500897298733,0.49777777777777776,0.6839661993445797,1.9938621901141274,0.7005119572083155,3.0,749280.0,weak: task is close to saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_ablation/results.json
pass,experiment_plan,blimp_wh_island_ablation,blimp,resonance_full_normalized,1.0,0.0,0.5,0.7068038759793955,1.996936766439014,0.7353293597698212,3.0,883532.0,weak: task is close to saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_ablation/results.json
pass,experiment_plan,blimp_wh_island_ablation,blimp,phase_stream_only_normalized,0.9988888888888888,0.001924500897298733,0.4988888888888888,0.700870671305446,1.9947057251797782,0.7353810469309489,3.0,883532.0,weak: task is close to saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_ablation/results.json
pass,experiment_plan,blimp_wh_island_ablation,blimp,bias_only_normalized,1.0,0.0,0.5,0.699190020013862,1.998344131509463,0.6894746522108713,3.0,883532.0,weak: task is close to saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_ablation/results.json
pass,experiment_plan,blimp_wh_island_ablation,blimp,resonance_inert_normalized,1.0,0.0,0.5,0.6991473252174297,1.9978020495838589,0.6893854141235352,3.0,883532.0,weak: task is close to saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_ablation/results.json
fail,experiment_plan,blimp_wh_island_lowdata_100,blimp,standard,0.5433333333333333,0.04582575694955844,0.043333333333333335,-0.1849690450910936,-0.26590846306747856,0.32105349997679394,3.0,749280.0,candidate: learnable and non-saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_100/results.json
pass,experiment_plan,blimp_wh_island_lowdata_100,blimp,resonance_full_normalized,0.6455555555555555,0.10694408369347526,0.14555555555555555,0.026395570029292232,0.01680943297015296,0.20648877819379172,3.0,883532.0,candidate: learnable and non-saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_100/results.json
pass,experiment_plan,blimp_wh_island_lowdata_100,blimp,phase_stream_only_normalized,0.6466666666666666,0.10682280239308045,0.1466666666666666,0.027312350116277972,0.017599515716234842,0.20593583087126413,3.0,883532.0,candidate: learnable and non-saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_100/results.json
partial,experiment_plan,blimp_wh_island_lowdata_100,blimp,bias_only_normalized,0.5833333333333334,0.03179797338056485,0.08333333333333337,-0.08807826042175293,-0.16069166991445752,0.11411318679650624,3.0,883532.0,candidate: learnable and non-saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_100/results.json
partial,experiment_plan,blimp_wh_island_lowdata_100,blimp,resonance_inert_normalized,0.581111111111111,0.0340478965467657,0.08111111111111102,-0.08822131993477804,-0.16059057162867652,0.11360074579715729,3.0,883532.0,candidate: learnable and non-saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_100/results.json
partial,experiment_plan,blimp_wh_island_lowdata_100_confirm,blimp,standard,0.5819047619047619,0.06471753849119874,0.08190476190476192,-0.15684864149057773,-0.21351228262696947,0.2979660438639777,7.0,749280.0,weak: training barely reduces answer loss,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_100_confirm/results.json
partial,experiment_plan,blimp_wh_island_lowdata_100_confirm,blimp,resonance_full_normalized,0.6428571428571429,0.069931939701943,0.1428571428571429,0.0065509787851706835,-0.005554692177545452,0.18553848138877324,7.0,883532.0,weak: training barely reduces answer loss,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_100_confirm/results.json
pass,experiment_plan,blimp_wh_island_lowdata_100_confirm,blimp,phase_stream_only_normalized,0.6438095238095238,0.07006421846416837,0.14380952380952383,0.010026940613761002,0.0008555453731900178,0.18841998704842158,7.0,883532.0,weak: training barely reduces answer loss,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_100_confirm/results.json
partial,experiment_plan,blimp_wh_island_lowdata_100_confirm,blimp,bias_only_normalized,0.6061904761904762,0.06473388749701496,0.10619047619047617,-0.12207895517349243,-0.008656288811138698,0.17204722549234117,7.0,883532.0,weak: training barely reduces answer loss,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_100_confirm/results.json
partial,experiment_plan,blimp_wh_island_lowdata_100_confirm,blimp,resonance_inert_normalized,0.6047619047619047,0.0657395856519732,0.10476190476190472,-0.12215281361924078,-0.00769593993822734,0.17143688457352774,7.0,883532.0,weak: training barely reduces answer loss,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_100_confirm/results.json
pass,experiment_plan,blimp_wh_island_lowdata_200,blimp,standard,0.8188888888888889,0.11057090903997269,0.3188888888888889,0.1464994083109655,1.0472936907741757,0.534826934337616,3.0,749280.0,weak: task is close to saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_200/results.json
pass,experiment_plan,blimp_wh_island_lowdata_200,blimp,resonance_full_normalized,0.9111111111111111,0.06003085626328933,0.4111111111111111,0.4599440851036394,1.4658312442567614,0.6173954506715139,3.0,883532.0,weak: task is close to saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_200/results.json
pass,experiment_plan,blimp_wh_island_lowdata_200,blimp,phase_stream_only_normalized,0.9122222222222223,0.06185406959874123,0.41222222222222227,0.4627161572376887,1.4653230959177017,0.6173409918944041,3.0,883532.0,weak: task is close to saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_200/results.json
pass,experiment_plan,blimp_wh_island_lowdata_200,blimp,bias_only_normalized,0.8944444444444444,0.059845480042201006,0.3944444444444444,0.38243268400822816,1.5524287893374762,0.610793391863505,3.0,883532.0,weak: task is close to saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_200/results.json
pass,experiment_plan,blimp_wh_island_lowdata_200,blimp,resonance_inert_normalized,0.8966666666666666,0.07055336829505574,0.3966666666666666,0.3803199240774439,1.5141499131917955,0.5978199243545532,3.0,883532.0,weak: task is close to saturated,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_200/results.json
partial,experiment_plan,blimp_wh_island_lowdata_50,blimp,standard,0.5777777777777778,0.010183501544346316,0.07777777777777783,-0.1562088978917975,-0.3288250611888038,0.4145057946443558,3.0,749280.0,weak: training barely reduces answer loss,resonance/outputs/experiment_plan/focused/blimp_wh_island_lowdata_50/results.json
